ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 1 default

1290,simple,BARN EHV-412,EHV-412 Effluent Pump,1,0,visible,"Barnes EHV pumps combine high quality, high performance and low cost in a rugged, heavy duty design. Capable of handling up to 3/4-inch spherical solids, the pump utilizes a vortex impeller and a combination of cast iron and stainless-steel components to stand up to the toughest residential effluent applications.","DISCHARGE: 2” NPT, Female, Vertical
\n
\nLIQUID TEMPERATURE: 77°F (25°C) Continuous
\n
\nMOTOR HOUSING: Cast Iron
\n
\nPUMP BODY: Cast Iron
\n
\nIMPELLER:
\n
\nDesign: Multi-Vane, Vortex.
\n
\nMaterial: Cast Iron
\n
\nSHAFT: 420 Stainless Steel
\n
\nO-RINGS: Buna-N
\n
\nHARDWARE: 300 Series Stainless Steel
\n
\nPAINT: Air Dry Enamel
\n
\nSEAL:
\n
\nDesign: Single Mechanical, Oil Filled Reservoir.
\n
\nMaterial: Carbon/Ceramic/Buna-N Hardware -300 Series Stainless
\n
\nCORD ENTRY: 20 ft. (6m) Cord with plug and pressure Grommet for sealing and strain relief
\n
\nUPPER BEARING: Single Row, Ball
\n
\nLOWER BEARING: Single Row, Ball
\n
\nMOTOR:
\n
\nDesign: Oil Filled.
\n
\nInsulation: Class B
\n
\nSINGLE PHASE: Permanent Split Capacitor (PSC) Includes Overload Protection in Motor
\n
\nLEVEL CONTROL:
\n
\nEHV412: None
\n
\nEHV412A: Wide Angle, Mechanical, 20 ft (6m) cord Pipe Mounted
\n
\nEHV412VF: Vertical Float, PVC, Snap Action
\n
\nEHV412AT: Wide Angle, Mechanical, 20 ft (6m) cord Pump Mounted",,,taxable,,1,9,,0,0,,,,,0,,,1,"Sump\, Effluent & Sewage Pumps > Effluent Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2019/04/EHV-412-Effluent-Pump.jpg.webp,,,,,,,,,0,Brands,Barnes,1,1,,,,,

1297,variable,"BARN STEP-1022DS, BARN STEP-512SS, BARN STEP-522SS",Barnes STEP-SS Series,1,0,visible,Effluent pumps are designed for handling dirty water in typical septic tank / effluent applications. High temperature models are available. Barnes effluent pumps are designed to handle most low and high head effluent applications.,"Flows To: 130 g.p.m.
\n
\nHeads To: 110 feet
\n
\nDischarge: SP &amp; EP 1 – 1/2 inches, Others 2 inches
\n
\nHP: 0.33 – 1.5
\n
\nRPM: 1750 or 3450
\n
\nVoltage: 120 – 600",,,taxable,,1,5,,0,0,,,,,0,,,,"Sump\, Effluent & Sewage Pumps > Effluent Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2019/04/Barnes-Effluent-Pumps.jpg.webp,,,,,,,,,0,Brands,Barnes,1,1,Barnes STEP-SS Series,"STEP-1022SS Barnes Effluent Pump 1hp\, 230V, STEP-512SS Effluent Pump 1/2hp\, 115V, STEP-522SS Barnes Effluent Pump 1/2hp\, 230V",1,1,

1300,variable,"HYD 2000, HYD 2050",Hydromatic Sump Pumps,1,0,visible,Uses Carbon-Ceramic mechanical Shaft Seal. Single-row Ball-bearing Construction. Oil-Filled Motor with Automatic Reset Thermal Overload Protection. Piggyback Electrical Plug for Easy Maintenance and Replacement.,"HORSEPOWER:  3/10 HP
\n
\nMAXIMUM HEAD:  25'
\n
\nMAXIMUM CAPACITY:  48 GPM
\n
\nFLOW at 10' LIFT:  38 GPM
\n
\nSWITCH TYPE:  Available with Wide-Angle Tethered, Vertical, or Diaphragm Switch
\n
\nMIMINUM SUMP DIAMETER:  12"" for Diaphragm or Vertical Switch Models; 18"" for Tethered Switch Model
\n
\nDISCHARGE PIPE SIZE:  1-1⁄2” NPT
\n
\nMAXIMUM SOLIDS HANDLING SIZE:  1/2""
\n
\nAMP DRAW (full load):  8 Amps
\n
\nCORD LENGTH:  10' (20' Optional)
\n
\nVOLTAGE:  115v AC, 60 Hz
\n
\nMAXIMUM WATER TEMPERATURE:  120 degrees F (49 degrees C)
\n
\nMOTOR:  3/10 HP / Shaded Pole / 115v / 8 full-load amps",,,taxable,,1,5,,0,0,,,,,0,,,,"Sump\, Effluent & Sewage Pumps > Sump Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2019/04/Hydromatic-Sump-Pumps.jpg.webp,,,,,,,,,0,Brands,Hydromatic,1,1,Hydromatic Sump Pumps,"D-A1 Hydromatic Sump Pump, W-A1 Hydromatic Sump Pump",1,1,

1303,variable,"HYD 2300, HYD 2350",Hydromatic SD Series,1,0,visible,"The Hydromatic® classic submersible pump series is specifically designed to meet the demands of residential sump and septic tank effluent applications. The 1-1/2-inch NPT discharge pump is a 1/3 horsepower, energy-efficient motor, in both automatic and manual configurations, and can handle capacities up to 47 gallons per minute and heads to 26 feet.
\n
\nDurable 1/3 and HP submersible sump pumps.
\n<h3>KEY FEATURES</h3>
\n<ul>
\n 	<li>Carbon-Ceramic Mechanical Shaft Seal</li>
\n 	<li>Oil-Filled Motor with Automatic Reset Thermal Overload</li>
\n 	<li>Uses Single-Row Ball Bearing Construction</li>
\n 	<li>Piggyback Plug for Easy Maintenance and Replacement</li>
\n</ul>","<strong>BODY CONSTRUCTION:</strong>  Cast Iron &amp; Engineered Thermoplastic
\n<strong>HORSEPOWER:</strong>  Available in 1/3 or 1/2 HP
\n<strong>MAXIMUM HEAD:</strong>  S_33: 26 ft. (7.9 m) / S_50: 29 ft. (8.8 m)
\n<strong>MAXIMUM CAPACITY:</strong>  S_33: 48 GPM (3.0 LPS) / S_50: 65 GPM (4.1 LPS)
\n<strong>FLOW at 10' LIFT:</strong>  S_33: 40 GPM / S_50: 54 GPM
\n<strong>SWITCH TYPE:</strong>  Available with Wide-Angle Tethered, Vertical, or Diaphragm Switch
\n<strong>MINIMUM SUMP DIAMETER:</strong>  S_33: 18"" (457.2 mm) / S_50: 18"" (457.2 mm)
\n<strong>DISCHARGE PIPE SIZE:</strong>  1-1/2"" NPT
\n<strong>MAXIMUM SOLIDS HANDLING SIZE:</strong>  S_33: 3/8"" (9.5mm) / 3/4"" (19.1 mm)
\n<strong>AMP DRAW (full load):</strong>  S_33: 10 Amps / S_50: 12 Amps
\n<strong>CORD LENGTH:</strong>  10', SJTW (20' optional)
\n<strong>VOLTAGE:</strong>  115v AC, 60 Hz
\n<strong>MAXIMUM WATER TEMPERATURE:</strong>  120°F (49°C)
\n<strong>IMPELLER CONSTRUCTION:</strong>  Thermoplastic",,,taxable,,1,5,,0,0,,,,,0,,,,"Sump\, Effluent & Sewage Pumps > Sump Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2019/04/sd.jpg.webp,,,,,,,,,0,Brands,Hydromatic,1,1,Hydromatic SD Series,"SD-33A1-10 Hydromatic Pump, SD-33A1-20 Hydromatic Pump",1,1,

1306,variable,"HYD 3200, HYD 3250",Hydromatic SW Series Pumps,1,0,visible,"Applications: Basement sumps, Septic tank effluent, Industrial circulators, Transfer tanks
\n
\nDurable 1/3 and HP submersible sump pumps.
\n<h3>KEY FEATURES</h3>
\n<ul>
\n 	<li>Carbon-Ceramic Mechanical Shaft Seal</li>
\n 	<li>Oil-Filled Motor with Automatic Reset Thermal Overload</li>
\n 	<li>Uses Single-Row Ball Bearing Construction</li>
\n 	<li>Piggyback Plug for Easy Maintenance and Replacement</li>
\n</ul>","<strong>BODY CONSTRUCTION:</strong>  Cast Iron &amp; Engineered Thermoplastic
\n<strong>HORSEPOWER:</strong>  Available in 1/3 or 1/2 HP
\n<strong>MAXIMUM HEAD:</strong>  S_33: 26 ft. (7.9 m) / S_50: 29 ft. (8.8 m)
\n<strong>MAXIMUM CAPACITY:</strong>  S_33: 48 GPM (3.0 LPS) / S_50: 65 GPM (4.1 LPS)
\n<strong>FLOW at 10' LIFT:</strong>  S_33: 40 GPM / S_50: 54 GPM
\n<strong>SWITCH TYPE:</strong>  Available with Wide-Angle Tethered, Vertical, or Diaphragm Switch
\n<strong>MINIMUM SUMP DIAMETER:</strong>  S_33: 18"" (457.2 mm) / S_50: 18"" (457.2 mm)
\n<strong>DISCHARGE PIPE SIZE:</strong>  1-1/2"" NPT
\n<strong>MAXIMUM SOLIDS HANDLING SIZE:</strong>  S_33: 3/8"" (9.5mm) / 3/4"" (19.1 mm)
\n<strong>AMP DRAW (full load):</strong>  S_33: 10 Amps / S_50: 12 Amps
\n<strong>CORD LENGTH:</strong>  10', SJTW (20' optional)
\n<strong>VOLTAGE:</strong>  115v AC, 60 Hz
\n<strong>MAXIMUM WATER TEMPERATURE:</strong>  120°F (49°C)
\n<strong>IMPELLER CONSTRUCTION:</strong>  Thermoplastic",,,taxable,,1,5,,0,0,,,,,0,,,,"Sump\, Effluent & Sewage Pumps > Sump Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2019/04/sd_sw_vs.jpg.webp,,,,,,,,,0,Brands,Hydromatic,1,1,Hydromatic SW Series,"SW-33A1-20 Hydromatic Pump, SW-50A1-20 Hydromatic Pump",1,1,

1310,variable,"HYD 3500, HYD 3520",Hydromatic Pumps OSP,1,0,visible,"The Hydromatic OSP50 submersible pump is specifically designed to meet the demands of residential sump, elevator pit, septic tank effluent, industrial circulator and transfer tank applications. The 1-1/2-inch NPT discharge pump is available with a powerful 1/2 horsepower motor, in both automatic and manual configurations, and can handle capacities up to 60 gallons per minute and heads to 25 feet.","Pump/Motor Unit: Submersible
\n
\nManual Models: OSP50MI - OSP50M2
\n
\nAutomatic Models: OSP50AI - OSP50A2
\n
\nHorsepower: 1/2 Full Load Amps 9.5 5.2
\n
\nMotor Type: Split Phase
\n
\nR.P.M: 1750
\n
\nPhase Ø: 1
\n
\nVoltage: 115 - 230
\n
\nHertz: 60
\n
\nOperation: Continuous Duty Rated
\n
\nTemperature: 140°F Ambient
\n
\nNEMA Design: B
\n
\nInsulation: Class F
\n
\nDischarge Size: 1-1/2” NPT
\n
\nSolids Handling: 5/8”
\n
\nUnit Weight: 50 lbs.
\n
\nPower Cord: 18/3, SJTW, 10’ std. (20 opt.) 18/3, SJTW 20’ std",,,taxable,,1,5,,0,0,,,,,0,,,,"Sump\, Effluent & Sewage Pumps > Effluent Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2019/04/HYDROMATIC-PUMPS-OSP.jpg.webp,,,,,,,,,0,Hydromatic Pumps OSP,"OSP-50A1-20 Hydromatic Pump, OSP-50A2-20 Hydromatic Pump",1,1,Brands,Hydromatic,1,1,

1313,simple,HYD 4100,SHEF42A1 20 Hydromatic Pump,1,0,visible,The SHEF42 Series Pump features a 2” NPT vertical discharge and a semi-open impeller capable of handling up to 3/4” solids with a 4/10 HP single phase motor for septic applications.,"Volute Casing: Cast Iron
\n
\nUpper and Lower Motor Housing: Cast Iron
\n
\nImpeller: Fiberglass reinforced Noryl® with threaded insert
\n
\nMechanical Seal: Type 6A or equal, Buna-N elastomers, carbon and ceramic sealing faces, stainless steel metal parts
\n
\nBearings: Lower ball, upper sleeve type, oil lubricated
\n
\nExterior Hardware and Nameplate: Stainless steel
\n
\nMotor: 4/10 HP, 3450 RPM, 115 Volts single phase, 60 Hz. Oil-filled. Built-in thermal overload protection with automatic reset and permanent split capacitor on single phase only. Stainless steel motor shaft.
\n
\nPower Cord: 20’ oil and water resistant 18-3 SJTW-A/SJTW with integrally grounded 3-prong plug, single phase. UL Listed. Stainless steel cord connector.
\n
\nMaximum Liquid Temperature Limits: 130°F (55°C)",,,taxable,,0,0,,0,0,,,,,0,,,1,"Sump\, Effluent & Sewage Pumps > Effluent Pumps, Sump\, Effluent & Sewage Pumps",dc,,https://www.movewater.ca/wp-content/uploads/2019/04/SHEF42A1-20-Hydromatic-Pump.jpg.webp,,,,,,,,,0,Brands,Hydromatic,0,0,,,,,

1316,simple,HYD 4150,SHEF-45A1 Hydromatic Pump,1,0,visible,"The Hydromatic® SHEF45 submersible pump is specifically designed to meet the demands of residential septic tank effluent or sump applications. The 2-inch NPT discharge pump features an energy efficient 1/2 horsepower motor, manual version. The SHEF45 can handle capacities up to 87 gallons per minute and heads to 44 feet.","1/2 HP
\n
\n115V or 230V available (1ø)
\n
\n2” discharge
\n
\n3/4” solids handling
\n
\nCapacities to 87 GPM
\n
\nHeads to 44 feet",,,taxable,,0,0,,0,0,,,,,0,,,1,"Sump\, Effluent & Sewage Pumps > Effluent Pumps, Sump\, Effluent & Sewage Pumps > Sump Pumps, Sump\, Effluent & Sewage Pumps",dc,,https://www.movewater.ca/wp-content/uploads/2019/04/SHEF-45A1-Hydromatic-Pump.jpg.webp,,,,,,,,,0,Brands,Hydromatic,0,0,,,,,

1319,variable,"HYD 4200, HYD 4400",SHEF Hydromatic Pumps,1,0,visible,"The Hydromatic® SHEF50/100 submersible pumps are specifically designed to meet the demands of residential high head septic tank effluent or sump applications. The 2-inch NPT discharge pumps feature an energy-efficient 1/2 or 1 horsepower motor, automatic and manual versions, and a wide variety of voltages including dual voltage 208-230 volt single and three phases. The SHEF50 can handle capacities up to 63 gallons per minute and heads to 63 feet. The SHEF100 can handle capacities up to 87 gallons per minute and heads to 90 feet.","SHEF100 Features:
\n<ul>
\n 	<li>1 HP</li>
\n 	<li>208-230 voltage (1ø) 208- 230/460, 575 voltage (3ø)</li>
\n 	<li>2” discharge</li>
\n 	<li>3/4” solids handling</li>
\n 	<li>Capacities to 87 GPM</li>
\n 	<li>Heads to 90 feet</li>
\n 	<li>Automatic or manual models</li>
\n</ul>
\n&nbsp;
\n
\nSHEF50 Features:
\n<ul>
\n 	<li>1/2 HP</li>
\n 	<li>115/208-230 dual voltage (1ø) 208-230/460, 575 voltage (3ø)</li>
\n 	<li>2” discharge</li>
\n 	<li>3/4” solids handling</li>
\n 	<li>Capacities to 63 GPM</li>
\n 	<li>Heads to 63 feet</li>
\n 	<li>Automatic or manual models</li>
\n</ul>",,,taxable,,1,5,,0,0,,,,,0,,,,"Sump\, Effluent & Sewage Pumps > Effluent Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2019/04/SHEF-45A1-Hydromatic-Pump.jpg.webp,,,,,,,,,0,Brands,Hydromatic,1,1,SHEF Hydromatic Pumps,"SHEF-100A2-20 Hydromatic Pump, SHEF-50A1-20 Hydromatic Pump",1,1,

1322,simple,HYD 5100,SP-40M1 Hydromatic Pump - 20',1,0,visible,"The SP40 submersible pump is specifically designed to meet the demands of handling wastewater and sewage in residential and commercial building applications. The 2-inch NPT discharge pump is available with a powerful 4/10 horsepower motor, in both automatic and manual configurations; and handles capacities up to 130 gallons per minute and heads up to 26 feet.","Pump/Motor Unit: Submersible
\n
\nManual Models: SP40MI - SP40M2
\n
\nAutomatic Models: SP40AI - SP40A2
\n
\nHorsepower: 4/10
\n
\nFull Load Amps: 7.5 3.8
\n
\nMotor Type: PSC
\n
\nR.P.M: 1650
\n
\nPhase Ø: 1
\n
\nVoltage: 115 - 230
\n
\nHertz: 60
\n
\nOperation: Continuous Duty
\n
\nTemperature: 140°F Ambient
\n
\nNEMA Design: A
\n
\nInsulation Class: A
\n
\nDischarge Size: 2” NPT
\n
\nSolids Handling: 1 1/4”
\n
\nUnit Weight: 47 lbs.
\n
\nPower Cord: 10' SJTW std. (20’ optional)",,,taxable,,1,1,,0,0,,,,,0,,,1,"Sump\, Effluent & Sewage Pumps > Effluent Pumps, Sump\, Effluent & Sewage Pumps > Sewage Pumps, Sump\, Effluent & Sewage Pumps > Sump Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2019/04/SP-40M1-Hydromatic-Pump-20.jpg.webp,,,,,,,,,0,Brands,Hydromatic,1,1,,,,,

1325,variable,"HYD 5220, HYD 5320, HYD 5330, HYD 5350, HYD 5370",Hydromatic SP Series Pump,1,0,visible,"<div class=""abstract"">Specifically designed to meet the demands of handling wastewater and sewage in residential and commercial building applications.</div>
\n<h3>KEY FEATURES</h3>
\n<div class=""keyFeatures"">
\n<ul>
\n 	<li>Carbon/Ceramic Type 21 Mechanical Shaft Seal</li>
\n 	<li>Oil-Filled Motor with Automatic Reset Thermal Overload for Maximum Protection (on single phase motors only)</li>
\n 	<li>Upper and Lower Single-Row Ball Bearing Construction</li>
\n 	<li>Piggyback Plug Available for Easy Maintenance and Switch Replacement</li>
\n</ul>
\n</div>","<strong>BODY CONSTRUCTION:</strong>  Class 30 Cast Iron (SP50AB models are naval bronze)
\n<strong>HORSEPOWER:</strong>  Available in 4/10 or 1/2 HP
\n<strong>MAXIMUM HEAD:</strong>  SP40: 25' / SP50: 28'
\n<strong>MAXIMUM CAPACITY:</strong>  SP40: 140 GPM / SP50: 148 GPM
\n<strong>FLOW at 10' LIFT:</strong>  SP40: 112 GPM / SP50: 132 GPM
\n<strong>SWITCH TYPE:</strong>  Available With or Without Diaphragm Pressure Switch
\n<strong>MINIMUM SUMP DIAMETER:</strong>  18"" for simplex / 30"" for duplex
\n<strong>DISCHARGE PIPE SIZE:</strong>  SP40: 2"" NPT / SP50: 2” NPT (3” opt.)
\n<strong>MAXIMUM SOLIDS HANDLING SIZE:</strong>  SP40: 1-1/4"" / SP50: 1-1/2""
\n<strong>AMP DRAW (full load):</strong>  See Spec Sheet (Model, HP, and Voltage Dependent)
\n<strong>CORD LENGTH:</strong>  10' SJTW (20' optional)
\n<strong>VOLTAGE:</strong>  Available in 115v/230v 1-phase OR 200V, 230V, 460V, or 575V 3-phase
\n<strong>MAXIMUM WATER TEMPERATURE:</strong>  140 degrees F (60 degrees C)
\n<strong>MOTOR:</strong>  4/10 or 1/2 HP PSC with Thermal Overload Protection
